,news,links,views,date
0,"Солнце меньше, чем мы думали, согласно исследованию, основанному на звуковых волнах",/solnce-menshe-chem-my-dumali-soglasno-issledovaniju-osnovannomu-na-zvukovyh-volnah/, 2 681 ,09.11.2023
1,"ИИ: исследователи разработали сверхэффективный инструмент для обнаружения статей, написанных ChatGPT",/ii-issledovateli-razrabotali-sverheffektivnyj-instrument-dlya-obnaruzheniya-statej-napisannyh-chatgpt/, 2 554 ,08.11.2023
2,"Зонд Люси снова удивляет: система Динкинеша не двойная, а тройная!",/zond-ljusi-snova-udivlyaet-sistema-dinkinesha-ne-dvojnaya-a-trojnaya/, 2 090 ,08.11.2023
3,"Аппараты ""Джеймс Уэбб"" и ""Чандра"" обнаружили самую удаленную черную дыру, когда-либо зафиксированную в рентгеновских лучах",/apparaty-dzhejms-uebb-i-chandra-obnaruzhili-samuju-udalennuju-chernuju-dyru-kogda-libo-zafiksirovannuju-v-rentgenovskih-luchah/, 2 338 ,07.11.2023
4,Китай планирует серийное производство человекоподобных роботов к 2025 году,/kitaj-planiruet-serijnoe-proizvodstvo-chelovekopodobnyh-robotov-k-2025-godu/, 3 621 ,06.11.2023
5,По данным телескопа Кеплер открыта новая система из семи планет,/po-dannym-teleskopa-kepler-otkryta-novaya-sistema-iz-semi-planet/, 2 869 ,06.11.2023
6,Какую роль сыграла пыль в исчезновении динозавров?,/kakuju-rol-sygrala-pyl-v-ischeznovenii-dinozavrov/, 3 207 ,03.11.2023
7,Проведены испытания AEPS - электрической двигательной установки Lunar Gateway,/provedeny-ispytaniya-aeps-elektricheskoj-dvigatelnoj-ustanovki-lunar-gateway/, 2 707 ,03.11.2023
8,"НАСА опубликовало жуткое изображение ""умирающей"" звезды, напоминающей человеческую руку",/nasa-opublikovalo-zhutkoe-izobrazhenie-umirajushhej-zvezdy-napominajushhej-chelovecheskuju-ruku/, 3 194 ,02.11.2023
9,"Открытие: вода может испаряться только под действием света (без тепла), за счет фотомолекулярного эффекта",/otkrytie-voda-mozhet-isparyatsya-tolko-pod-dejstviem-sveta-bez-tepla-za-schet-fotomolekulyarnogo-effekta/, 3 538 ,02.11.2023
10,Аномалии вблизи ядра Земли могут быть остатками столкновения с другой планетой,/anomalii-vblizi-yadra-zemli-mogut-byt-ostatkami-stolknoveniya-s-drugoj-planetoj/, 7 799 ,02.11.2023
11,"Арголанд выходит на поверхность: повторное открытие континента, потерянного 155 миллионов лет назад",/argoland-vyhodit-na-poverhnost-povtornoe-otkrytie-kontinenta-poteryannogo-155-millionov-let-nazad/, 5 167 ,01.11.2023
12,"Искаженные кристаллы имитируют черные дыры и отклоняют свет с помощью ""псевдогравитации""",/iskazhennye-kristally-imitirujut-chernye-dyry-i-otklonyajut-svet-s-pomoshhju-psevdogravitacii/, 2 658 ,29.10.2023
13,OpenAI боится собственного искусственного интеллекта?,/openai-boitsya-sobstvennogo-iskusstvennogo-intellekta/, 3 193 ,28.10.2023
14,Впервые на Уране наблюдается инфракрасное сияние,/vpervye-na-urane-nabljudaetsya-infrakrasnoe-siyanie/, 2 487 ,27.10.2023
15,Внезапное исчезновение звезд в 1952 году до сих пор остается непонятным для астрономов,/vnezapnoe-ischeznovenie-zvezd-v-1952-godu-do-sih-por-ostaetsya-neponyatnym-dlya-astronomov/, 3 990 ,27.10.2023
16,НАСА не удалось открыть контейнер с образцами с астероида Бенну,/nasa-ne-udalos-otkryt-kontejner-s-obrazcami-s-asteroida-bennu/, 4 519 ,27.10.2023
17,Длительный COVID: выявлена ​​одна из основных причин стойких симптомов,/dlitelnyj-covid-vyyavlena-odna-iz-osnovnyh-prichin-stojkih-simptomov/, 2 922 ,25.10.2023
18,"Наконец-то расшифрованы две грани памяти, связанные с прошлым и будущим",/nakonec-to-rasshifrovany-dve-grani-pamyati-svyazannye-s-proshlym-i-budushhim/, 2 231 ,25.10.2023
19,Птичий грипп добрался до Антарктиды,/ptichij-gripp-dobralsya-do-antarktidy/, 1 292 ,25.10.2023
